Country,Country_Code,Time,Year,Frequency,Currency,Budget_Deficit_Surplus,Capital_Expenditure,Consumer_Price_Index_CPI,Defence_Expenditure,Education_Expenditure,Expenditure,Exports,Food_Inflation_,Food_Inflation_YoY,GDP_Growth_Rate,GDP_per_Capita,GDP_per_Capita_,Government_Debt,Health_Expenditure,Imports,Inflation_Rate,Inflation_Rate_,Interest_Rate,Labour_Force,Nominal_GDP,Population,Real_GDP,Revenue,Tax_Revenue,Unemployment_Rate,Value_Added_Tax_VAT
Algeria,DZA,1977-01-01,1977.0,Yearly,USD,,,,,,,6.0,,,,,,,,-6.21,,,,,,,,,,,
Algeria,DZA,1978-01-01,1978.0,Yearly,USD,,,,,,,6.3,,,,,,,,-7.32,,,,,,,,,,,
Algeria,DZA,1979-01-01,1979.0,Yearly,USD,,,,,,,9.5,,,,,,,,-7.82,,,,,,,,,,,
Algeria,DZA,1980-01-01,1980.0,Yearly,USD,,,,,,,13.7,,,,,,,,-9.61,,,,,,,,,,,
Algeria,DZA,1981-01-01,1981.0,Yearly,USD,,,,,,,14.1,,,,,,,,-10.11,,,,,,,,,,,
Algeria,DZA,1982-01-01,1982.0,Yearly,USD,,,,,,,13.5,,,,,,,,-9.92,,,,,,,,,,,
Algeria,DZA,1983-01-01,1983.0,Yearly,USD,,,,,,,12.7,,,,,,,,-9.54,,,,,,,,,,,
Algeria,DZA,1984-01-01,1984.0,Yearly,USD,,,,,,,12.8,,,,,,,,-9.24,,,,,,,,,,,
Algeria,DZA,1985-01-01,1985.0,Yearly,USD,,,,,,,13.0,,,,,,,,-8.81,,,,,,,,,,,
Algeria,DZA,1986-01-01,1986.0,Yearly,USD,,,,,,,8.1,,,,,,,,-8.53,,,,,,,,,,,
Algeria,DZA,1987-01-01,1987.0,Yearly,USD,,,,,,,9.0,,,,,,,,-7.27,,,,,,,,,,,
Algeria,DZA,1988-01-01,1988.0,Yearly,USD,,,,,,,7.6,,,,,,,,-7.69,,,,,,,,,,,
Algeria,DZA,1989-01-01,1989.0,Yearly,USD,,,,,,,9.6,,,,,,,,-9.47,,,,,,,,,,,
Algeria,DZA,1990-01-01,1990.0,Yearly,USD,,,,,,,12.9,,,,,,,,-9.77,,,,,,,,,,,
Algeria,DZA,1991-01-01,1991.0,Yearly,USD,,,,,,,12.4,,,,,,,,-7.77,,,,,,,,,,,
Algeria,DZA,1992-01-01,1992.0,Yearly,USD,,,,,,,11.5,,,,,,,,-8.3,,,,,,,,,,,
Algeria,DZA,1993-01-01,1993.0,Yearly,USD,,,,,,,10.4,,,,,,,,-7.99,,,,,,,,,,,
Algeria,DZA,1994-01-01,1994.0,Yearly,USD,,,,,,,8.9,,,,,,,,-9.15,,,,,,,,,,,
Algeria,DZA,1995-01-01,1995.0,Yearly,USD,,,,,,,10.3,,,,,,,,-10.1,,,,,,,,,,,
Algeria,DZA,1996-01-01,1996.0,Yearly,USD,,,,,,,13.2,,,,,,,,-9.09,,,,,,,,,,,
Algeria,DZA,1997-01-01,1997.0,Yearly,USD,,,,,,,13.8,,,,,,,,-8.13,,,,,,,,,,,
Algeria,DZA,1998-01-01,1998.0,Yearly,USD,,,,,,,10.1,,,,,,,,-8.63,,,,,,,,,,,
Algeria,DZA,1999-01-01,1999.0,Yearly,USD,,,,,,,12.3,,,,,,,,-8.96,,,,,,,,,,,
Algeria,DZA,2000-01-01,2000.0,Yearly,USD,,,,,,,21.7,,,,,,,,-9.35,,,,,,,,,,,
Algeria,DZA,2001-01-01,2001.0,Quarterly,DZD,,,,,,,,,,,,,,,,,,,,1180885.8,,,,,,
